2021-06-02 11:53:13.305  INFO -ChnData [chnIndex=3, voltage=3774.881367230653, current=2590.0, capacity=0.0, stepElapsedTime=0, loopIndex=1, stepIndex=2, alertCode=NORMAL, state=RUNNING, workMode=DC, important=true, alertVolt=3774.881367230653, alertCurrent=0.0, alertCapacity=0.0, alertTime=10932]
2021-06-02 11:53:13.305  INFO -last data:ChnData [chnIndex=0, voltage=3774.881367230653, current=0.0, capacity=0.0, stepElapsedTime=10932, loopIndex=1, stepIndex=1, alertCode=null, state=RUNNING, workMode=SLEEP, important=true, alertVolt=0.0, alertCurrent=0.0, alertCapacity=0.0, alertTime=0]
2021-06-02 11:53:13.305  INFO -ChnData [chnIndex=4, voltage=3774.882261812449, current=2590.0, capacity=0.0, stepElapsedTime=0, loopIndex=1, stepIndex=2, alertCode=NORMAL, state=RUNNING, workMode=DC, important=true, alertVolt=3774.882261812449, alertCurrent=0.0, alertCapacity=0.0, alertTime=10932]
2021-06-02 11:53:13.305  INFO -last data:ChnData [chnIndex=0, voltage=3774.882261812449, current=0.0, capacity=0.0, stepElapsedTime=10932, loopIndex=1, stepIndex=1, alertCode=null, state=RUNNING, workMode=SLEEP, important=true, alertVolt=0.0, alertCurrent=0.0, alertCapacity=0.0, alertTime=0]
2021-06-02 11:53:13.305  INFO -ChnData [chnIndex=5, voltage=3774.8814319226217, current=2590.0, capacity=0.0, stepElapsedTime=0, loopIndex=1, stepIndex=2, alertCode=NORMAL, state=RUNNING, workMode=DC, important=true, alertVolt=3774.8814319226217, alertCurrent=0.0, alertCapacity=0.0, alertTime=10932]
2021-06-02 11:53:13.305  INFO -last data:ChnData [chnIndex=0, voltage=3774.8814319226217, current=0.0, capacity=0.0, stepElapsedTime=10932, loopIndex=1, stepIndex=1, alertCode=null, state=RUNNING, workMode=SLEEP, important=true, alertVolt=0.0, alertCurrent=0.0, alertCapacity=0.0, alertTime=0]
2021-06-02 11:53:13.305  INFO -ChnData [chnIndex=6, voltage=3774.881362599543, current=2590.0, capacity=0.0, stepElapsedTime=0, loopIndex=1, stepIndex=2, alertCode=NORMAL, state=RUNNING, workMode=DC, important=true, alertVolt=3774.881362599543, alertCurrent=0.0, alertCapacity=0.0, alertTime=10932]
2021-06-02 11:53:13.305  INFO -last data:ChnData [chnIndex=0, voltage=3774.881362599543, current=0.0, capacity=0.0, stepElapsedTime=10932, loopIndex=1, stepIndex=1, alertCode=null, state=RUNNING, workMode=SLEEP, important=true, alertVolt=0.0, alertCurrent=0.0, alertCapacity=0.0, alertTime=0]
2021-06-02 11:53:13.305  INFO -ChnData [chnIndex=7, voltage=3774.8824216344024, current=2590.0, capacity=0.0, stepElapsedTime=0, loopIndex=1, stepIndex=2, alertCode=NORMAL, state=RUNNING, workMode=DC, important=true, alertVolt=3774.8824216344024, alertCurrent=0.0, alertCapacity=0.0, alertTime=10932]
2021-06-02 11:53:13.305  INFO -last data:ChnData [chnIndex=0, voltage=3774.8824216344024, current=0.0, capacity=0.0, stepElapsedTime=10932, loopIndex=1, stepIndex=1, alertCode=null, state=RUNNING, workMode=SLEEP, important=true, alertVolt=0.0, alertCurrent=0.0, alertCapacity=0.0, alertTime=0]
2021-06-02 11:53:13.305  INFO -ChnData [chnIndex=8, voltage=3774.8815445734735, current=2590.0, capacity=0.0, stepElapsedTime=0, loopIndex=1, stepIndex=2, alertCode=NORMAL, state=RUNNING, workMode=DC, important=true, alertVolt=3774.8815445734735, alertCurrent=0.0, alertCapacity=0.0, alertTime=10932]
2021-06-02 11:53:13.305  INFO -last data:ChnData [chnIndex=0, voltage=3774.8815445734735, current=0.0, capacity=0.0, stepElapsedTime=10932, loopIndex=1, stepIndex=1, alertCode=null, state=RUNNING, workMode=SLEEP, important=true, alertVolt=0.0, alertCurrent=0.0, alertCapacity=0.0, alertTime=0]
